wetland ,Nest ID,Nest #,Exposure,Date,#eggs,#cowbird eggs,#Cwyoung,# live young,# fledged,# dead,Surv,Survive,Year,Trial,NestHeight,Success,AverageSPL,DistEdge,DistWater,DistRoad,DistRailroad,WaterDepth,,
Brant Marsh,17JR,202764,4,22/05/2012,4,0,0,0,0,0,1,4,2012,1,1.2,1,56.20,0.00,24.37,76.37,37.41,0.02,,
Brant Marsh,17JR,202765,1,23/05/2012,4,0,0,0,0,0,1,4,2012,1,1.2,1,56.20,0.00,24.37,76.37,37.41,0.02,,
Brant Marsh,17JR,202766,2,25/05/2012,4,0,0,0,0,0,1,4,2012,1,1.2,1,56.20,0.00,24.37,76.37,37.41,0.02,,
Brant Marsh,17JR,202767,3,28/05/2012,4,0,0,0,0,0,1,4,2012,1,1.2,1,56.20,0.00,24.37,76.37,37.41,0.02,,
Brant Marsh,17JR,202768,2,30/05/2012,4,0,0,0,0,0,1,4,2012,1,1.2,1,56.20,0.00,24.37,76.37,37.41,0.02,,
Brant Marsh,17JR,202769,5,04/06/2012,0,0,0,3,0,0,1,3,2012,1,1.2,1,56.20,0.00,24.37,76.37,37.41,0.02,,
Brant Marsh,17JR,202770,2,06/06/2012,0,0,0,3,0,0,1,3,2012,1,1.2,1,56.20,0.00,24.37,76.37,37.41,0.02,,
Brant Marsh,17JR,202771,1,07/06/2012,0,0,0,3,0,0,1,3,2012,1,1.2,1,56.20,0.00,24.37,76.37,37.41,0.02,,
Brant Marsh,17JR,202772,2,09/06/2012,0,0,0,0,0,0,1,0,2012,1,1.2,1,56.20,0.00,24.37,76.37,37.41,0.02,,
Brant Marsh,5JR,202818,1,10/05/2012,1,0,0,0,0,0,1,1,2012,1,1.5,0,52.00,19.66,7.84,53.42,53.39,0.02,,
Brant Marsh,5JR,202819,2,14/05/2012,3,0,0,0,0,0,1,3,2012,1,1.5,0,52.00,19.66,7.84,53.42,53.39,0.02,,
Brant Marsh,5JR,202820,4,18/05/2012,3,0,0,0,0,0,1,3,2012,1,1.5,0,52.00,19.66,7.84,53.42,53.39,0.02,,
Brant Marsh,5JR,202821,4,22/05/2012,3,0,0,0,0,0,1,3,2012,1,1.5,0,52.00,19.66,7.84,53.42,53.39,0.02,,
Brant Marsh,5JR,202822,1,23/05/2012,1,0,0,2,0,0,1,3,2012,1,1.5,0,52.00,19.66,7.84,53.42,53.39,0.02,,
Brant Marsh,5JR,202823,2,25/05/2012,0,0,0,3,0,0,1,3,2012,1,1.5,0,52.00,19.66,7.84,53.42,53.39,0.02,,
Brant Marsh,5JR,202824,3,28/05/2012,0,0,0,2,0,0,1,2,2012,1,1.5,0,52.00,19.66,7.84,53.42,53.39,0.02,,
Brant Marsh,5JR,202825,2,30/05/2012,0,0,0,1,0,0,1,1,2012,1,1.5,0,52.00,19.66,7.84,53.42,53.39,0.02,,
Brant Marsh,5JR,202826,2.5,1.5/05/2012,0,0,0,0,0,0,0,0,2012,1,1.5,0,52.00,19.66,7.84,53.42,53.39,0.02,,
Brant Marsh,8AF,202838,2,18/05/2012,4,0,0,0,0,0,1,4,2012,1,1,0,53.42,8.36,6.90,29.47,143.09,0,,
Brant Marsh,8AF,202839,2,20/05/2012,0,0,0,0,0,0,0,0,2012,1,1,0,53.42,8.36,6.90,29.47,143.09,0,,
Brant Marsh,10AF,202839,4,10/05/2012,4,0,0,0,0,0,1,4,2012,1,1,0,56.42,1.81,13.41,25.47,143.09,0,,
Brant Marsh,10AF,202840,2,12/05/2012,0,0,0,0,0,0,0,0,2012,1,1,0,56.42,1.81,13.41,25.47,143.09,0,,
Brant Marsh,3DT,202826,4,10/05/2012,4,0,0,0,0,0,1,4,2012,1,1,1,53.00,9.80,13.32,56.93,77.47,0,,
Brant Marsh,3DT,202827,4,14/05/2012,2,0,0,2,0,0,1,4,2012,1,1,1,53.00,9.80,13.32,56.93,77.47,0,,
Brant Marsh,3DT,202828,4,18/05/2012,0,0,0,2,0,0,1,2,2012,1,1,1,53.00,9.80,13.32,56.93,77.47,0,,
Brant Marsh,3DT,202829,2,20/05/2012,0,0,0,0,2,0,1,2,2012,1,1,1,53.00,9.80,13.32,56.93,77.47,0,,
Brant Marsh,4DT,202830,2,14/05/2012,3,0,0,0,0,0,1,3,2012,1,1,0,54.92,5.53,9.00,74.82,60.53,0,,
Brant Marsh,4DT,202831,2,16/05/2012,0,0,0,0,0,0,0,0,2012,1,1,0,54.92,5.53,9.00,74.82,60.53,0,,
Brant Marsh,6DT,202828,2,10/05/2012,2,0,0,0,0,0,1,2,2012,1,1.5,0,57.08,11.15,10.55,106.12,63.98,0.05,,
Brant Marsh,6DT,202829,4,14/05/2012,4,0,0,0,0,0,1,4,2012,1,1.5,0,57.08,11.15,10.55,106.12,63.98,0.05,,
Brant Marsh,6DT,202830,2,16/05/2012,0,0,0,0,0,0,0,0,2012,1,1.5,0,57.08,11.15,10.55,106.12,63.98,0.05,,
Brant Marsh,7DT,202827,3,10/05/2012,3,0,0,0,0,0,1,3,2012,1,1.5,0,54.33,4.80,16.64,123.12,60.00,0,,
Brant Marsh,7DT,202828,4,14/05/2012,4,0,0,0,0,0,1,4,2012,1,1.5,0,54.33,4.80,16.64,123.12,60.00,0,,
Brant Marsh,7DT,202829,2,16/05/2012,0,0,0,0,0,0,0,0,2012,1,1.5,0,54.33,4.80,16.64,123.12,60.00,0,,
